Designator,Quantity,Value,Footprint,LCSC Part #
"C1a, C1b, C2a, C2b, C8a, C8b, ",6,10u,0603,C19702
"C3a, C3b, C5a, C5b, C6a, C6b, C7a, C7b, ",8,100n,0402,C1525
"C4a, C4b, ",2,1u,0402,C52923
"C9a, C9b, C10a, C10b, C11a, C11b, ",6,10n,0402,C15195
"C12a, C12b, ",2,33n,0402,C1585
"C13a, C13b, C14a, C14b, ",4,12p,0402,C1547
"C15a, C15b, ",2,1p5,0402,C1552
"C16a, C16b, ",2,1p,0402,C1550
"C17a, C17b, ",2,2n2,0402,C1531
"C18a, C18b, ",2,4p7,0402,C1569
"D1a, D1b, ",2,GR,0603,C72043
"D2a, D2b, ",2,YE,0603,C72038
"F1a, F1b, ",2,100mA,1206,C70068
"FB1a, FB1b, ",2,100 @ 100MHz,0805,C1015
"L1a, L1b, ",2,3n9,0402,C14033
"L2a, L2b, ",2,8n2,0402,C16208
"L3a, L3b, ",2,2n7,0402,C27123
"R1a, R1b, ",2,10k,0402,C25744
"R2a, R2b, R3a, R3b, ",4,2k2,0603,C4190
"R4a, R4b, ",2,22k,0402,C25768
"R5a, R5b, ",2,1M,0402,C26083
"U1a, U1b, ",2,XC6206P332MR,SOT-23,C5446
"U2a, U2b, ",2,USBLC6-2SC6,SOT-23-6,C7519
"U3a, U3b, ",2,STM32L432KBU6,UFQFPN-32_EP_5.0x5.0x0.5P,C94784
"U4a, U4b, ",2,nRF24L01P,QFN-20_EP_4.0x4.0x0.5P,C8791
"Y1a, Y1b, ",2,16MHz,SMD-3225_4P,C13738
